SEQN,FIAINTRP,INDHHINC,SDMVPSU,DMDMARTL,MIALANG,DMDHRAGE,AIALANG,FIALANG,RIDAGEYR,DMDHRBRN,DMDYRSUS,DMDHHSIZ,WTINT2YR,MIAPROXY,SDDSRVYR,DMDHRGND,DMDBORN,RIDEXPRG,SIAPROXY,FIAPROXY,MIAINTRP,RIDAGEMN,INDFMINC,DMDHSEDU,INDFMPIR,RIDSTATR,RIAGENDR,DMDEDUC3,RIDRETH1,SDMVSTRA,SIAINTRP,DMQMILIT,RIDEXMON,DMDEDUC2,RIDAGEEX,DMDSCHOL,DMDCITZN,WTMEC2YR,DMDHRMAR,SIALANG,DMDHREDU,SourceYear
29000.0,2.0,77.0,1.0,6.0,1.0,43.0,1.0,1.0,43.0,1.0,,4.0,98374.146497,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,523.0,77.0,,,2.0,1.0,,3.0,29.0,2.0,2.0,2.0,4.0,523.0,,1.0,101529.11369,6.0,1.0,4.0,2003
29001.0,2.0,1.0,1.0,,,26.0,,1.0,10.0,1.0,,6.0,7138.261521,,3.0,2.0,1.0,2.0,1.0,2.0,,125.0,1.0,,0.1,2.0,2.0,3.0,4.0,42.0,2.0,,2.0,,126.0,2.0,1.0,7762.893316,5.0,1.0,2.0,2003
29002.0,2.0,,1.0,,1.0,82.0,,1.0,82.0,1.0,,1.0,13623.487178,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,991.0,77.0,,,2.0,1.0,,4.0,29.0,2.0,2.0,1.0,9.0,992.0,,1.0,15073.998221,99.0,1.0,9.0,2003
29003.0,2.0,7.0,1.0,3.0,1.0,42.0,1.0,1.0,42.0,1.0,,2.0,98532.833906,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,514.0,7.0,,3.51,2.0,1.0,,3.0,37.0,2.0,2.0,1.0,3.0,516.0,,1.0,105869.93226,3.0,1.0,3.0,2003
29004.0,2.0,2.0,2.0,,,55.0,,1.0,7.0,1.0,,3.0,11894.535334,,3.0,2.0,1.0,,1.0,2.0,,95.0,2.0,,0.43,2.0,2.0,2.0,4.0,37.0,2.0,,2.0,,96.0,2.0,1.0,12357.119417,4.0,1.0,4.0,2003
29005.0,2.0,4.0,1.0,,1.0,41.0,1.0,2.0,12.0,2.0,,5.0,3193.8963,2.0,3.0,1.0,1.0,,1.0,2.0,2.0,149.0,4.0,3.0,0.82,2.0,1.0,6.0,1.0,43.0,2.0,,1.0,,149.0,1.0,1.0,3284.551077,1.0,1.0,1.0,2003
29006.0,1.0,6.0,1.0,1.0,2.0,31.0,2.0,2.0,27.0,2.0,3.0,5.0,3420.671487,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,325.0,6.0,1.0,1.58,2.0,2.0,,1.0,34.0,2.0,2.0,1.0,1.0,325.0,,2.0,3492.702803,1.0,2.0,1.0,2003
29007.0,2.0,10.0,2.0,5.0,1.0,34.0,1.0,1.0,34.0,1.0,,2.0,70782.749552,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,409.0,10.0,,5.0,2.0,1.0,,3.0,30.0,2.0,1.0,2.0,5.0,410.0,,1.0,73113.20813,5.0,1.0,5.0,2003
29008.0,,,1.0,2.0,2.0,79.0,,,79.0,1.0,,2.0,3238.02593,2.0,3.0,1.0,1.0,,1.0,,2.0,959.0,,,,2.0,1.0,,1.0,34.0,2.0,2.0,1.0,1.0,961.0,,1.0,3143.56371,2.0,1.0,1.0,2003
29009.0,2.0,6.0,2.0,,,29.0,,1.0,6.0,1.0,,7.0,11009.412319,,3.0,2.0,1.0,,1.0,2.0,,77.0,6.0,,0.92,2.0,1.0,0.0,4.0,37.0,2.0,,2.0,,79.0,,1.0,10971.081165,4.0,1.0,3.0,2003
